River,River,Mountain,Plain,Plain,River,Plain,River,River,River,Plain,Plain,Avenue,Plain,Plain,Grass,River,Grass,Grass,Wood,Wood,River,Mountain
River,River,River,Mountain,Plain,Plain,River,Plain,Plain,River,Plain,Closed,Avenue,Closed,Plain,Plain,Grass,River,River,Grass,Wood,River,Mountain
Plain,River,River,Plain,River,River,River,Plain,Plain,River,Plain,Closed,Gate,Closed,Plain,Grass,Grass,Grass,River,River,River,River,Mountain
Plain,River,River,River,Wood,Plain,Plain,Plain,Fort,Bridge,Plain,Plain,Avenue,Plain,Plain,Fort,Plain,Grass,Grass,River,Wood,Wood,Wood
Plain,River,River,Plain,Wood,Plain,Plain,Plain,Plain,River,River,Plain,Avenue,Plain,Plain,Plain,Grass,Grass,River,Wood,Wood,Mountain,Mountain
Wood,River,River,Plain,Plain,Plain,Plain,Plain,Plain,Plain,River,Plain,Avenue,Plain,Plain,Plain,Grass,River,Grass,Grass,Wood,Mountain,Wood
Wood,Plain,River,Plain,Plain,Plain,Wood,Plain,Plain,Plain,Plain,River,River,River,River,River,River,River,Grass,Grass,Wood,Wood,Wood
Forest,Wood,River,Plain,Plain,Plain,Wood,Wood,Plain,Plain,Plain,Plain,Avenue,Plain,Grass,Grass,River,Grass,Grass,Grass,Wood,Wood,Wood
Forest,Wood,River,River,Wood,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Avenue,Plain,Grass,Fort,Bridge,Grass,Grass,Wood,Grass,Grass,Mountain
Wood,Plain,River,River,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Plain,Avenue,Plain,Plain,Plain,River,Plain,Village,Grass,Grass,Wood,Mountain
Plain,River,River,Plain,Plain,Plain,Plain,Wood,Wood,Plain,Wood,Plain,Avenue,Plain,Plain,River,Plain,Plain,Avenue,Avenue,Avenue,Avenue,Wood
River,River,River,Wood,Wood,Plain,Plain,Wood,Plain,Plain,Wood,Plain,Avenue,Avenue,Wood,River,Plain,Plain,Avenue,Grass,Grass,Avenue,Avenue
River,River,River,River,Wood,Plain,Plain,Plain,Plain,Plain,Plain,Wood,Plain,Avenue,Plain,River,Plain,Avenue,Avenue,Wood,Grass,Grass,Wood
River,River,River,River,River,Wood,Wood,Plain,River,Plain,Plain,Plain,Plain,Avenue,Avenue,River,Avenue,Avenue,Plain,Wood,Wood,Wood,Forest
River,River,River,River,River,River,River,River,River,River,Plain,Wood,Wood,Wood,River,River,River,River,Plain,Plain,Plain,Wood,Forest
Plain,River,River,Plain,River,RIver,River,RIver,River,River,River,River,Wood,River,River,River,River,River,River,River,Plain,Plain,Wood
Plain,River,River,Plain,Plain,Plain,Plain,Plain,River,River,River,River,River,River,Plain,River,River,River,River,River,River,River,Plain
Plain,River,River,Plain,Mountain,Plain,Plain,Plain,Plain,River,River,Plain,River,Plain,Plain,Plain,Plain,Plain,River,River,River,River,River
